Author,BookName,Press,Price,Score,Time
"
                [美]
            卡勒德·胡赛尼",追风筝的人, 上海人民出版社, 29.00元, 8.9 , 2006-5
"
                [美]
            玛格丽特·米切尔",飘, 译林出版社, 40.00元, 9.3 , 2000-9
"
            当年明月",明朝那些事儿（壹）, 中国友谊出版公司, 24.80, 8.7 , 2006-9
"
            刘瑜",送你一颗子弹, 上海三联书店, 25.00元, 8.6 , 2010-1
"
                [英]
            简·奥斯汀",傲慢与偏见, 人民文学出版社, 13.00元, 8.8 , 1993-7
"
            杨绛",我们仨, 生活·读书·新知三联书店, 18.80元, 8.7 , 2003-7
"
            高铭",天才在左 疯子在右, 武汉大学出版社, 29.80元, 8.2 , 2010-2
"
                [英]
            J·K·罗琳",哈利·波特与魔法石, 人民文学出版社, 19.50元, 9.0 , 2000-9
"
                [英]
            夏洛蒂·勃朗特",简爱（英文全本）, 世界图书出版公司, 18.00元, 8.5 , 2003-11
,三体Ⅲ, 重庆出版社, 38.00元, 9.2 , 2010-11
"
            刘慈欣",三体Ⅱ, 重庆出版社, 32.00, 9.3 , 2008-5
"
            路遥",平凡的世界（全三部）, 人民文学出版社, 64.00元, 9.0 , 2005-1
"
                [美]
            丹·布朗",达·芬奇密码, 上海人民出版社, 28.00元, 8.2 , 2004-2
"
                [捷克]
            米兰·昆德拉",不能承受的生命之轻, 上海译文出版社, 23.00元, 8.5 , 2003-7
"
            柴静",看见, 广西师范大学出版社, 39.80元, 8.8 , 2013-1-1
"
                [哥伦比亚]
            加西亚·马尔克斯",百年孤独, 南海出版公司, 39.50元, 9.2 , 2011-6
,红楼梦, 人民文学出版社, 59.70元, 9.6 , 1996-12
"
            金庸",天龙八部, 生活.读书.新知三联书店, 96.0, 9.1 , 1994-5
"
            罗贯中",三国演义（全二册）, 人民文学出版社, 39.50元, 9.2 , 1998-05
,苏菲的世界, 作家出版社, 26.80元, 8.5 , 1999-04
"
            王小波",黄金时代, 花城出版社, 19.00元, 8.8 , 1999-3
,窗边的小豆豆, 南海出版公司, 20.00元, 8.7 , 2003-1
"
                [英]
            J·K·罗琳",哈利·波特与混血王子, 人民文学出版社, 58.00元, 8.8 , 2005-10
"
            南派三叔",盗墓笔记, 中国友谊出版公司, 26.80元, 8.3 , 2007-1
"
            幾米",向左走·向右走, 生活·读书·新知三联书店, 16.00元, 8.4 , 2002-8
"
            安妮宝贝（庆山）",莲花, 作家出版社, 25.00元, 8.0 , 2006-3
"
                [美]
            黄仁宇",万历十五年, 生活·读书·新知三联书店, 18.00元, 8.9 , 1997-5
"
            霍达",穆斯林的葬礼, 北京十月文艺出版社, 32.00, 8.2 , 1988-12-1
"
            三毛",撒哈拉的故事, 皇冠出版社, 160 TWD, 9.0 , 1976
"
            余华",许三观卖血记, 南海出版公司, 16.80元, 8.7 , 1998-9
"
                [英]
            J·K·罗琳",哈利·波特与密室, 人民文学出版社, 22.00元, 8.9 , 2000-9
"
                [日]
            村上春树",1Q84 BOOK 1, 南海出版公司, 36.00元, 8.3 , 2010-5
"
            金庸",神雕侠侣, 生活·读书·新知三联书店, 76.80元, 8.8 , 1994-5
"
            王小波",沉默的大多数, 中国青年出版社, 27.00元, 9.1 , 1997-10
"
                [奥地利]
            斯蒂芬·茨威格",一个陌生女人的来信, 上海译文出版社, 20.00元, 8.7 , 2007-7
"
            陈忠实",白鹿原, 人民文学出版社, 28.00元, 8.6 , 1997-12
"
                [日]
            岩井俊二",情书, 天津人民出版社, 18.00元, 8.6 , 2004-7
"
                [法]
            小仲马",茶花女, 外国文学出版社, 9.00元, 8.2 , 1997-3
"
            张德芬",遇见未知的自己, 华夏出版社, 29.00, 8.1 , 2008-1
"
                [英]
            阿·柯南道尔",福尔摩斯探案全集（上中下）, 群众出版社, 53.00元/68.00元, 9.2 , 1981-8
"
            刘瑜",民主的细节, 上海三联书店, 25.00, 8.6 , 2009-6
,无声告白, 江苏凤凰文艺出版社, 35.00元, 8.2 , 2015-7
"
            金庸",笑傲江湖（全四册）, 生活·读书·新知三联书店, 76.80元, 9.0 , 1994-5
,人间失格, 吉林出版集团有限责任公司, 16.00元, 8.3 , 2009年9月
"
                [美]
            斯科特·派克",少有人走的路, 吉林文史出版社, 26.00元, 8.4 , 2007-1
"
                [法]
            大仲马",基督山伯爵, 上海译文出版社, 43.90元, 9.0 , 1991-12-1
"
                [英]
            乔治·奥威尔",1984, 北京十月文艺出版社, 28.00, 9.3 , 2010-4-1
"
            余华",兄弟（上）, 上海文艺出版社, 16.00元, 8.3 , 2005-8
"
            幾米",地下铁, 辽宁教育出版社, 32.00元, 8.3 , 2002-2
"
            张爱玲  ",半生缘, 北京十月文艺出版社, 28.00元, 8.6 , 2006-12
"
            老舍",骆驼祥子, 人民文学出版社, 12.00, 8.3 , 2000-3-1
"
                [丹麦]
            汉斯·克里斯蒂安·安徒生  ",安徒生童话故事集, 人民文学出版社, 25.00, 9.2 , 1997-08
,鬼吹灯之精绝古城, 安徽文艺出版社, 25.0, 8.1 , 2006
"
            唐七公子",华胥引（全二册）, 现代出版社, 39.80元, 8.4 , 2011-1
"
                [英]
            乔治·奥威尔",动物农场, 上海译文出版社, 10.00元, 9.2 , 2007-3
,乌合之众, 中央编译出版社, 16.00元, 8.3 , 2011-5-1
"
                [美]
            弗·司各特·菲茨杰拉德",了不起的盖茨比, 人民文学出版社, 12.00元, 8.3 , 2004-06
"
            张爱玲  ",红玫瑰与白玫瑰, 花城出版社, 12.80元, 8.4 , 1996-06
"
            安东尼",陪安东尼度过漫长岁月, 长江文艺出版社, 18.00, 8.3 , 2008-3
"
            李银河",爱你就像爱生命, 上海锦绣文章出版社, 18.00元, 8.8 , 2008-5
,巨人的陨落, 江苏凤凰文艺出版社, 129.80元, 8.9 , 2016-5-1
,呐喊, 人民文学出版社, 0.36元, 8.8 , 1973年3月
"
                [英]
            阿加莎·克里斯蒂",无人生还, 人民文学出版社, 19.00, 8.9 , 2008-3
